id,title,description,link,image link,price,availability
product_5454ff32-8a3a-f0d5-4720-88b6f312b0de,Ribbed Melt Warmer (Natural),Ribbed melt warmer in natural colour.,https://www.beehappyorders.com/product-page/ribbed-melt-warmer-natural,1ec8bd_d4e86faf4b974d2ba57f22894ce9f0d5~mv2.png,9.0,TRUE
product_021ddef1-b6a3-2f1b-1c09-003ac469639d,Stoneware Dip Melt Warmer (Duck Egg),Stoneware melt warmer with duck egg colouring.,https://www.beehappyorders.com/product-page/stoneware-dip-melt-warmer-duck-egg,1ec8bd_465d4169b4cf405b9c6c63e6961e0e2f~mv2.png,9.38,TRUE
product_526fe49e-446b-1a71-05ee-f16d67ca466f,Stoneware Dip Melt Warmer (Rust)),Stoneware melt warmer in rust,https://www.beehappyorders.com/product-page/copy-of-stoneware-dip-melt-warmer-rust,1ec8bd_b0bd28f973a74dbfbe1565a5f57cf944~mv2.png,9.38,TRUE
product_0932210a-660f-65bb-ea9b-fa93621f7a4a,Stoneware Dip Melt Warmer (Blue),Stoneware melt warmer in blue,https://www.beehappyorders.com/product-page/stoneware-dip-melt-warmer-blue,1ec8bd_f1fc858c7b994393a877f723a3ec357b~mv2.png,9.38,TRUE
product_e415e95e-3a80-58e7-48c0-7e8964f621ac,Stoneware Patterned Melt Warmer,Stoneware patterned melt warmer,https://www.beehappyorders.com/product-page/stoneware-patterned-melt-warmer,1ec8bd_a362a443af8c4edd9a125d9c2bd86330~mv2.png,11.25,TRUE
product_99e68047-0943-6723-5f66-2483a30c5a79,Aztec Melt Warmer (Sage),Aztec melt warmer in sage,https://www.beehappyorders.com/product-page/aztec-melt-warmer-sage,1ec8bd_720df88a28574ab9aac3f147d2897dab~mv2.png,10.0,TRUE
product_6cc23ab7-3e78-d0d1-7afc-289462088175,Speckle Melt Warmer,Speckle melt warmer,https://www.beehappyorders.com/product-page/speckle-melt-warmer,1ec8bd_f9743095f6474610b8aabf38f7d204a9~mv2.png,8.0,TRUE
product_85a93900-b924-ba2b-b675-27762e4ea173,Stoneware Crosses Melt Warmer,Stoneware crosses melt warmer ,https://www.beehappyorders.com/product-page/stoneware-crosses-melt-warmer,1ec8bd_3415e0e52f0341a586ec00610be4f87c~mv2.png,11.25,TRUE
product_023c2d31-d9ac-133d-5cfd-4feb2e4f9336,Terracotta Petal Melt Warmer,Terracotta melt warmer with petal cut out design,https://www.beehappyorders.com/product-page/terracotta-petal-melt-warmer,1ec8bd_13413f4ad303497789dbfea3066e7f81~mv2.png,10.0,TRUE
product_3ef71593-00aa-9ca7-5867-84048a2a9613,Ribbed Melt Warmer (Petrol Blue),Ribbed melt warmer in petrol blue,https://www.beehappyorders.com/product-page/ribbed-melt-warmer-petrol-blue,1ec8bd_1dc4df06cbd346639a57d0411a0bf870~mv2.png,9.0,TRUE
product_8ba58e31-2c47-d3c9-1068-4ff0cc305440,Aztec Melt Warmer (Grey),Aztec melt warmer in grey,https://www.beehappyorders.com/product-page/aztec-melt-warmer-grey,1ec8bd_dfce31a093404e899df370613cdcc55b~mv2.png,10.0,TRUE
product_bcbaf47a-5b93-0d3e-fdbf-88283cac694d,Terracotta Star Wax Melt Warmer,Terracotta melt warmer with star cut out design,https://www.beehappyorders.com/product-page/terracotta-star-wax-melt-warmer,1ec8bd_a308c4ab0527428a9749cf9b8ffd02cd~mv2.png,10.0,TRUE
product_34d96da0-d370-57d1-8ad2-3d1cfce60594,Chocolate Orange Extra Large Honeycomb Melts (x3),"<p>*WARNING - THIS IS NOT A FOOD PRODUCT</p><p>&nbsp;</p><p>Our honeycomb wax melts come in sets of three.&nbsp;</p><p>&nbsp;</p><p>Each melt can be reused until its scent fades.&nbsp; Keep remaining melts in an airtight container to keep them at their best.</p><p>&nbsp;</p><p>Our entire range is vegan, cruelty free and made with the finest quality&nbsp;wax which is biodegradable and suitable for a high fragrance load to give you a great scent throw.</p>",,1ec8bd_9a3c4a24bddd42679d8d2c3f01b398bd~mv2.png;1ec8bd_c026bc86116d4981b8c8b1177aab710c~mv2.jpg,2.5,TRUE
product_51ec0a3a-7a01-5795-b2f6-881e42a2dfb5,Lemongrass Chunky Snap Bar,"<p>*WARNING&nbsp; - THIS IS NOT A FOOD ITEM*</p><p>&nbsp;</p><p>Our entire range is 100% vegan and cruelty free and we use only the finest quality wax which is biodegradable and suitable for a high fragrance load, to ensure great scent throw.&nbsp; Each section can be reused until the scent fades.</p><p>&nbsp;</p><p>Store remaining sections in an airtight container for best results.</p>",,1ec8bd_51d21eb399144e0481f81d182dc95012~mv2.jpg,2.5,TRUE
product_f6f215b4-8c87-202b-82a1-a983005e7aaf,Coconut Chunky Snap Bar,"<p>*WARNING&nbsp; - THIS IS NOT A FOOD ITEM*</p><p>&nbsp;</p><p>Our entire range is 100% vegan and cruelty free and we use only the finest quality wax which is biodegradable and suitable for a high fragrance load, to ensure great scent throw.&nbsp; Each section can be reused until the scent fades.</p><p>&nbsp;</p><p>Store remaining sections in an airtight container for best results.</p>",,1ec8bd_51d21eb399144e0481f81d182dc95012~mv2.jpg,2.5,TRUE
